Time [s],Time [h],Current [A],Voltage [V],Cycle,Step
0.0,0.0,0.0,3.5884306179666745,0.0,0.0
60.0,0.016666666666666666,0.0,3.588430617554422,0.0,0.0
120.0,0.03333333333333333,0.0,3.5884306165383366,0.0,0.0
180.0,0.05,0.0,3.5884306154774155,0.0,0.0
240.0,0.06666666666666667,0.0,3.588430614551777,0.0,0.0
300.0,0.08333333333333333,0.0,3.5884306137600834,0.0,0.0
360.0,0.1,0.0,3.588430613082865,0.0,0.0
420.0,0.11666666666666667,0.0,3.5884306124898337,0.0,0.0
480.0,0.13333333333333333,0.0,3.5884306119922478,0.0,0.0
540.0,0.15,0.0,3.5884306115716997,0.0,0.0
600.0,0.16666666666666666,0.0,3.5884306112249234,0.0,0.0
660.0,0.18333333333333332,0.0,3.588430610916098,0.0,0.0
720.0,0.2,0.0,3.5884306106432775,0.0,0.0
780.0,0.21666666666666667,0.0,3.5884306104044126,0.0,0.0
840.0,0.23333333333333334,0.0,3.588430610192045,0.0,0.0
900.0,0.25,0.0,3.588430610009897,0.0,0.0
960.0,0.26666666666666666,0.0,3.5884306098529177,0.0,0.0
1020.0,0.2833333333333333,0.0,3.588430609715162,0.0,0.0
1080.0,0.3,0.0,3.588430609600365,0.0,0.0
1140.0,0.31666666666666665,0.0,3.5884306095096425,0.0,0.0
1200.0,0.3333333333333333,0.0,3.5884306094295577,0.0,0.0
1260.0,0.35,0.0,3.588430609357066,0.0,0.0
1320.0,0.36666666666666664,0.0,3.588430609292976,0.0,0.0
1380.0,0.38333333333333336,0.0,3.5884306092369442,0.0,0.0
1440.0,0.4,0.0,3.5884306091880296,0.0,0.0
1500.0,0.4166666666666667,0.0,3.5884306091438667,0.0,0.0
1560.0,0.43333333333333335,0.0,3.588430609106026,0.0,0.0
1620.0,0.45,0.0,3.588430609074507,0.0,0.0
1680.0,0.4666666666666667,0.0,3.5884306090505182,0.0,0.0
1740.0,0.48333333333333334,0.0,3.5884306090294613,0.0,0.0
1800.0,0.5,0.0,3.588430609010341,0.0,0.0
1860.0,0.5166666666666667,0.0,3.5884306089931663,0.0,0.0
1920.0,0.5333333333333333,0.0,3.5884306089779603,0.0,0.0
1980.0,0.55,0.0,3.5884306089647073,0.0,0.0
2040.0,0.5666666666666667,0.0,3.5884306089534075,0.0,0.0
2100.0,0.5833333333333334,0.0,3.5884306089434546,0.0,0.0
2160.0,0.6,0.0,3.5884306089350306,0.0,0.0
2220.0,0.6166666666666667,0.0,3.5884306089293276,0.0,0.0
2280.0,0.6333333333333333,0.0,3.5884306089244555,0.0,0.0
2340.0,0.65,0.0,3.5884306089195834,0.0,0.0
2400.0,0.6666666666666666,0.0,3.5884306089151825,0.0,0.0
2460.0,0.6833333333333333,0.0,3.5884306089124083,0.0,0.0
2520.0,0.7,0.0,3.588430608909635,0.0,0.0
2580.0,0.7166666666666667,0.0,3.5884306089068607,0.0,0.0
2640.0,0.7333333333333333,0.0,3.5884306089040865,0.0,0.0
2700.0,0.75,0.0,3.5884306089013127,0.0,0.0
2760.0,0.7666666666666667,0.0,3.588430608899246,0.0,0.0
2820.0,0.7833333333333333,0.0,3.5884306088974802,0.0,0.0
2880.0,0.8,0.0,3.5884306088957145,0.0,0.0
2940.0,0.8166666666666667,0.0,3.58843060889412,0.0,0.0
3000.0,0.8333333333333334,0.0,3.588430608893115,0.0,0.0
3060.0,0.85,0.0,3.5884306088921094,0.0,0.0
3120.0,0.8666666666666667,0.0,3.588430608891105,0.0,0.0
3180.0,0.8833333333333333,0.0,3.5884306088901,0.0,0.0
3240.0,0.9,0.0,3.588430608889095,0.0,0.0
3300.0,0.9166666666666666,0.0,3.5884306088883466,0.0,0.0
3360.0,0.9333333333333333,0.0,3.5884306088877067,0.0,0.0
3420.0,0.95,0.0,3.588430608887067,0.0,0.0
3480.0,0.9666666666666667,0.0,3.5884306088864895,0.0,0.0
3540.0,0.9833333333333333,0.0,3.5884306088861257,0.0,0.0
3600.0,1.0,0.0,3.5884306088857616,0.0,0.0
3660.0,1.0166666666666666,0.0,3.5884306088853974,0.0,0.0
3720.0,1.0333333333333334,0.0,3.5884306088850337,0.0,0.0
3780.0,1.05,0.0,3.58843060888467,0.0,0.0
3840.0,1.0666666666666667,0.0,3.5884306088843982,0.0,0.0
3900.0,1.0833333333333333,0.0,3.5884306088841664,0.0,0.0
3960.0,1.1,0.0,3.588430608883935,0.0,0.0
4020.0,1.1166666666666667,0.0,3.5884306088837254,0.0,0.0
4080.0,1.1333333333333333,0.0,3.5884306088835936,0.0,0.0
4140.0,1.15,0.0,3.588430608883462,0.0,0.0
4200.0,1.1666666666666667,0.0,3.58843060888333,0.0,0.0
4260.0,1.1833333333333333,0.0,3.5884306088831983,0.0,0.0
4320.0,1.2,0.0,3.5884306088830664,0.0,0.0
4380.0,1.2166666666666666,0.0,3.5884306088829696,0.0,0.0
4440.0,1.2333333333333334,0.0,3.588430608882886,0.0,0.0
4500.0,1.25,0.0,3.5884306088828026,0.0,0.0
4560.0,1.2666666666666666,0.0,3.5884306088827276,0.0,0.0
4620.0,1.2833333333333334,0.0,3.588430608882679,0.0,0.0
4680.0,1.3,0.0,3.5884306088826303,0.0,0.0
4740.0,1.3166666666666667,0.0,3.5884306088825815,0.0,0.0
4800.0,1.3333333333333333,0.0,3.588430608882533,0.0,0.0
4860.0,1.35,0.0,3.5884306088824847,0.0,0.0
4920.0,1.3666666666666667,0.0,3.5884306088824496,0.0,0.0
4980.0,1.3833333333333333,0.0,3.588430608882419,0.0,0.0
5040.0,1.4,0.0,3.5884306088823887,0.0,0.0
5100.0,1.4166666666666667,0.0,3.588430608882361,0.0,0.0
5160.0,1.4333333333333333,0.0,3.588430608882344,0.0,0.0
5220.0,1.45,0.0,3.5884306088823266,0.0,0.0
5280.0,1.4666666666666666,0.0,3.5884306088823097,0.0,0.0
5340.0,1.4833333333333334,0.0,3.5884306088822924,0.0,0.0
5400.0,1.5,0.0,3.5884306088822755,0.0,0.0
5460.0,1.5166666666666666,0.0,3.588430608882263,0.0,0.0
5520.0,1.5333333333333334,0.0,3.5884306088822524,0.0,0.0
5580.0,1.55,0.0,3.588430608882242,0.0,0.0
5640.0,1.5666666666666667,0.0,3.5884306088822324,0.0,0.0
5700.0,1.5833333333333333,0.0,3.5884306088822258,0.0,0.0
5760.0,1.6,0.0,3.5884306088822195,0.0,0.0
5820.0,1.6166666666666667,0.0,3.5884306088822133,0.0,0.0
5880.0,1.6333333333333333,0.0,3.5884306088822067,0.0,0.0
5940.0,1.65,0.0,3.5884306088822004,0.0,0.0
6000.0,1.6666666666666667,0.0,3.5884306088821956,0.0,0.0
6060.0,1.6833333333333333,0.0,3.5884306088821916,0.0,0.0
6120.0,1.7,0.0,3.5884306088821876,0.0,0.0
6180.0,1.7166666666666666,0.0,3.588430608882184,0.0,0.0
6240.0,1.7333333333333334,0.0,3.5884306088821822,0.0,0.0
6300.0,1.75,0.0,3.58843060888218,0.0,0.0
6360.0,1.7666666666666666,0.0,3.5884306088821782,0.0,0.0
6420.0,1.7833333333333334,0.0,3.5884306088821756,0.0,0.0
6480.0,1.8,0.0,3.588430608882174,0.0,0.0
6540.0,1.8166666666666667,0.0,3.588430608882173,0.0,0.0
6600.0,1.8333333333333333,0.0,3.588430608882172,0.0,0.0
6660.0,1.85,0.0,3.5884306088821707,0.0,0.0
6720.0,1.8666666666666667,0.0,3.5884306088821694,0.0,0.0
6780.0,1.8833333333333333,0.0,3.5884306088821685,0.0,0.0
6840.0,1.9,0.0,3.588430608882167,0.0,0.0
6900.0,1.9166666666666667,0.0,3.5884306088821663,0.0,0.0
6960.0,1.9333333333333333,0.0,3.5884306088821654,0.0,0.0
7020.0,1.95,0.0,3.5884306088821645,0.0,0.0
7080.0,1.9666666666666666,0.0,3.588430608882164,0.0,0.0
7140.0,1.9833333333333334,0.0,3.5884306088821636,0.0,0.0
7200.0,2.0,0.0,3.588430608882163,0.0,0.0
7200.000000001,2.000000000000278,-0.07666666666666666,3.592288746974532,0.0,1.0
7210.349589439015,2.002874885955282,-0.07666666666666666,3.599989991005325,0.0,1.0
7210.349589440016,2.00287488595556,0.0,3.596121062803516,0.0,2.0
7270.349589439015,2.019541552621949,0.0,3.591269243030495,0.0,2.0
7330.349589439015,2.0362082192886155,0.0,3.5911914302990766,0.0,2.0
7390.349589439015,2.052874885955282,0.0,3.59118379448858,0.0,2.0
7450.349589439015,2.0695415526219487,0.0,3.5911862422759513,0.0,2.0
7510.349589439015,2.0862082192886153,0.0,3.5911874245809425,0.0,2.0
7570.349589439015,2.102874885955282,0.0,3.5911875717030437,0.0,2.0
7630.349589439015,2.1195415526219485,0.0,3.5911875239163864,0.0,2.0
7690.349589439015,2.136208219288615,0.0,3.591187349458354,0.0,2.0
7750.349589439015,2.152874885955282,0.0,3.591187470378992,0.0,2.0
7810.349589439015,2.169541552621949,0.0,3.591187538081845,0.0,2.0
7870.349589439015,2.1862082192886154,0.0,3.5911875522290093,0.0,2.0
7930.349589439015,2.202874885955282,0.0,3.5911875571525353,0.0,2.0
