,Step_Time(s),Time(h),Current(A),Voltage(V),Cycle,Step_Index,Discharge_Capacity(Ah),Charge_Capacity(Ah)
0,0.0,0.0,0.0,3.1543850502078667,0.0,1.0,0.0,-0.0
1,60.0,0.0166666666666666,0.0,3.1547409220533487,0.0,1.0,0.0,-0.0
2,120.0,0.0333333333333333,0.0,3.1550508122778207,0.0,1.0,0.0,-0.0
3,180.0,0.05,0.0,3.1553164018544413,0.0,1.0,0.0,-0.0
4,240.0,0.0666666666666666,0.0,3.155544674299505,0.0,1.0,0.0,-0.0
5,300.0,0.0833333333333333,0.0,3.15573916109493,0.0,1.0,0.0,-0.0
6,360.0,0.1,0.0,3.15590518511019,0.0,1.0,0.0,-0.0
7,420.0,0.1166666666666666,0.0,3.156045196139757,0.0,1.0,0.0,-0.0
8,480.0,0.1333333333333333,0.0,3.156162655666892,0.0,1.0,0.0,-0.0
9,540.0,0.15,0.0,3.156260964923004,0.0,1.0,0.0,-0.0
10,600.0,0.1666666666666666,0.0,3.156340650799701,0.0,1.0,0.0,-0.0
11,660.0,0.1833333333333333,0.0,3.1564107813616946,0.0,1.0,0.0,-0.0
12,720.0,0.2,0.0,3.1564717197432186,0.0,1.0,0.0,-0.0
13,780.0,0.2166666666666666,0.0,3.156524575285589,0.0,1.0,0.0,-0.0
14,840.0,0.2333333333333333,0.0,3.156570692880197,0.0,1.0,0.0,-0.0
15,900.0,0.25,0.0,3.156609275300417,0.0,1.0,0.0,-0.0
16,960.0,0.2666666666666666,0.0,3.1566428380647245,0.0,1.0,0.0,-0.0
17,1020.0,0.2833333333333333,0.0,3.156671465737294,0.0,1.0,0.0,-0.0
18,1080.0,0.3,0.0,3.156694572963196,0.0,1.0,0.0,-0.0
19,1140.0,0.3166666666666666,0.0,3.1567122636943554,0.0,1.0,0.0,-0.0
20,1200.0,0.3333333333333333,0.0,3.156727670013259,0.0,1.0,0.0,-0.0
21,1260.0,0.35,0.0,3.1567414419615245,0.0,1.0,0.0,-0.0
22,1320.0,0.3666666666666666,0.0,3.156753463127409,0.0,1.0,0.0,-0.0
23,1380.0,0.3833333333333333,0.0,3.1567637863398925,0.0,1.0,0.0,-0.0
24,1440.0,0.4,0.0,3.1567726623611456,0.0,1.0,0.0,-0.0
25,1500.0,0.4166666666666667,0.0,3.1567806055970644,0.0,1.0,0.0,-0.0
26,1560.0,0.4333333333333333,0.0,3.1567872569789586,0.0,1.0,0.0,-0.0
27,1620.0,0.45,0.0,3.156792616675043,0.0,1.0,0.0,-0.0
28,1680.0,0.4666666666666667,0.0,3.1567964596053644,0.0,1.0,0.0,-0.0
29,1740.0,0.4833333333333333,0.0,3.156799759978287,0.0,1.0,0.0,-0.0
30,1800.0,0.5,0.0,3.156802705780904,0.0,1.0,0.0,-0.0
31,1860.0,0.5166666666666667,0.0,3.1568053004119445,0.0,1.0,0.0,-0.0
32,1920.0,0.5333333333333333,0.0,3.156807557221141,0.0,1.0,0.0,-0.0
33,1980.0,0.55,0.0,3.1568094677442784,0.0,1.0,0.0,-0.0
34,2040.0,0.5666666666666667,0.0,3.1568110319943115,0.0,1.0,0.0,-0.0
35,2100.0,0.5833333333333334,0.0,3.156812335050435,0.0,1.0,0.0,-0.0
36,2160.0,0.6,0.0,3.1568133886259857,0.0,1.0,0.0,-0.0
37,2220.0,0.6166666666666667,0.0,3.1568139966748,0.0,1.0,0.0,-0.0
38,2280.0,0.6333333333333333,0.0,3.156814471922212,0.0,1.0,0.0,-0.0
39,2340.0,0.65,0.0,3.1568149471681517,0.0,1.0,0.0,-0.0
40,2400.0,0.6666666666666666,0.0,3.1568153503112577,0.0,1.0,0.0,-0.0
41,2460.0,0.6833333333333333,0.0,3.15681550436327,0.0,1.0,0.0,-0.0
42,2520.0,0.7,0.0,3.156815658415129,0.0,1.0,0.0,-0.0
43,2580.0,0.7166666666666667,0.0,3.1568158124668337,0.0,1.0,0.0,-0.0
44,2640.0,0.7333333333333333,0.0,3.1568159665183835,0.0,1.0,0.0,-0.0
45,2700.0,0.75,0.0,3.15681612056978,0.0,1.0,0.0,-0.0
46,2760.0,0.7666666666666667,0.0,3.156816169715063,0.0,1.0,0.0,-0.0
47,2820.0,0.7833333333333333,0.0,3.15681617448512,0.0,1.0,0.0,-0.0
48,2880.0,0.8,0.0,3.156816179255176,0.0,1.0,0.0,-0.0
49,2940.0,0.8166666666666667,0.0,3.156816159932327,0.0,1.0,0.0,-0.0
50,3000.0,0.8333333333333334,0.0,3.156816057375046,0.0,1.0,0.0,-0.0
51,3060.0,0.85,0.0,3.1568159548176977,0.0,1.0,0.0,-0.0
52,3120.0,0.8666666666666667,0.0,3.156815852260282,0.0,1.0,0.0,-0.0
53,3180.0,0.8833333333333333,0.0,3.156815749702797,0.0,1.0,0.0,-0.0
54,3240.0,0.9,0.0,3.156815647145245,0.0,1.0,0.0,-0.0
55,3300.0,0.9166666666666666,0.0,3.1568155095328523,0.0,1.0,0.0,-0.0
56,3360.0,0.9333333333333332,0.0,3.156815357092177,0.0,1.0,0.0,-0.0
57,3420.0,0.95,0.0,3.156815204651352,0.0,1.0,0.0,-0.0
58,3480.0,0.9666666666666668,0.0,3.1568150441597678,0.0,1.0,0.0,-0.0
59,3540.0,0.9833333333333332,0.0,3.156814855855341,0.0,1.0,0.0,-0.0
60,3600.0,1.0,0.0,3.156814667550684,0.0,1.0,0.0,-0.0
61,3660.0,1.0166666666666666,0.0,3.156814479245797,0.0,1.0,0.0,-0.0
62,3720.0,1.0333333333333334,0.0,3.1568142909406776,0.0,1.0,0.0,-0.0
63,3780.0,1.05,0.0,3.156814102635327,0.0,1.0,0.0,-0.0
64,3840.0,1.0666666666666669,0.0,3.1568139026164665,0.0,1.0,0.0,-0.0
65,3900.0,1.0833333333333333,0.0,3.156813697642653,0.0,1.0,0.0,-0.0
66,3960.0,1.1,0.0,3.156813492668566,0.0,1.0,0.0,-0.0
67,4020.0,1.1166666666666667,0.0,3.1568132850043216,0.0,1.0,0.0,-0.0
68,4080.0,1.1333333333333333,0.0,3.156813068046975,0.0,1.0,0.0,-0.0
69,4140.0,1.15,0.0,3.156812851089322,0.0,1.0,0.0,-0.0
