Time [s],Time [h],Current [A],Voltage [V],Cycle,Step
0.0,0.0,0.0,2.9103824088312114,0.0,0.0
60.0,0.016666666666666666,0.0,2.910382411735828,0.0,0.0
120.0,0.03333333333333333,0.0,2.9103824143294945,0.0,0.0
180.0,0.05,0.0,2.9103824165888494,0.0,0.0
240.0,0.06666666666666667,0.0,2.91038241883168,0.0,0.0
300.0,0.08333333333333333,0.0,2.910382420587453,0.0,0.0
360.0,0.1,0.0,2.910382422291503,0.0,0.0
420.0,0.11666666666666667,0.0,2.9103824239955536,0.0,0.0
480.0,0.13333333333333333,0.0,2.9103824256996025,0.0,0.0
540.0,0.15,0.0,2.910382427442096,0.0,0.0
600.0,0.16666666666666666,0.0,2.910382428976556,0.0,0.0
660.0,0.18333333333333332,0.0,2.9103824305635753,0.0,0.0
720.0,0.2,0.0,2.9103824318366054,0.0,0.0
780.0,0.21666666666666667,0.0,2.910382433093663,0.0,0.0
840.0,0.23333333333333334,0.0,2.910382434051013,0.0,0.0
900.0,0.25,0.0,2.910382434976535,0.0,0.0
960.0,0.26666666666666666,0.0,2.910382435902058,0.0,0.0
1020.0,0.2833333333333333,0.0,2.91038243682758,0.0,0.0
1080.0,0.3,0.0,2.910382437787838,0.0,0.0
1140.0,0.31666666666666665,0.0,2.9103824386438815,0.0,0.0
1200.0,0.3333333333333333,0.0,2.91038243943751,0.0,0.0
1260.0,0.35,0.0,2.910382440222533,0.0,0.0
1320.0,0.36666666666666664,0.0,2.910382441007373,0.0,0.0
1380.0,0.38333333333333336,0.0,2.9103824415640256,0.0,0.0
1440.0,0.4,0.0,2.9103824420964464,0.0,0.0
1500.0,0.4166666666666667,0.0,2.910382442628868,0.0,0.0
1560.0,0.43333333333333335,0.0,2.910382443161289,0.0,0.0
1620.0,0.45,0.0,2.9103824437452284,0.0,0.0
1680.0,0.4666666666666667,0.0,2.910382444167797,0.0,0.0
1740.0,0.48333333333333334,0.0,2.9103824447489783,0.0,0.0
1800.0,0.5,0.0,2.910382444989777,0.0,0.0
1860.0,0.5166666666666667,0.0,2.9103824452133615,0.0,0.0
1920.0,0.5333333333333333,0.0,2.9103824454423,0.0,0.0
1980.0,0.55,0.0,2.9103824456718077,0.0,0.0
2040.0,0.5666666666666667,0.0,2.9103824459013152,0.0,0.0
2100.0,0.5833333333333334,0.0,2.9103824461308228,0.0,0.0
2160.0,0.6,0.0,2.910382446578523,0.0,0.0
2220.0,0.6166666666666667,0.0,2.9103824468058086,0.0,0.0
2280.0,0.6333333333333333,0.0,2.9103824468913415,0.0,0.0
2340.0,0.65,0.0,2.9103824472324877,0.0,0.0
2400.0,0.6666666666666666,0.0,2.910382447586607,0.0,0.0
2460.0,0.6833333333333333,0.0,2.910382447786528,0.0,0.0
2520.0,0.7,0.0,2.910382447970073,0.0,0.0
2580.0,0.7166666666666667,0.0,2.9103824481536176,0.0,0.0
2640.0,0.7333333333333333,0.0,2.9103824483371628,0.0,0.0
2700.0,0.75,0.0,2.9103824485617116,0.0,0.0
2760.0,0.7666666666666667,0.0,2.910382448656608,0.0,0.0
2820.0,0.7833333333333333,0.0,2.910382448960292,0.0,0.0
2880.0,0.8,0.0,2.910382449187539,0.0,0.0
2940.0,0.8166666666666667,0.0,2.9103824494106547,0.0,0.0
3000.0,0.8333333333333334,0.0,2.9103824495607875,0.0,0.0
3060.0,0.85,0.0,2.91038244970317,0.0,0.0
