,Step_Time(s),Time(h),Current(A),Voltage(V),Cycle,Step_Index,Discharge_Capacity(Ah),Charge_Capacity(Ah)
0,0.0,0.0,0.0,4.179792270703254,0.0,1.0,0.0,-0.0
1,60.0,0.0166666666666666,0.0,4.179756523364717,0.0,1.0,0.0,-0.0
2,120.0,0.0333333333333333,0.0,4.179726029377592,0.0,1.0,0.0,-0.0
3,180.0,0.05,0.0,4.179700375857201,0.0,1.0,0.0,-0.0
4,240.0,0.0666666666666666,0.0,4.179678556802984,0.0,1.0,0.0,-0.0
5,300.0,0.0833333333333333,0.0,4.179660430988852,0.0,1.0,0.0,-0.0
6,360.0,0.1,0.0,4.179645189366969,0.0,1.0,0.0,-0.0
7,420.0,0.1166666666666666,0.0,4.179632408975201,0.0,1.0,0.0,-0.0
8,480.0,0.1333333333333333,0.0,4.179621838598161,0.0,1.0,0.0,-0.0
9,540.0,0.15,0.0,4.179613023367148,0.0,1.0,0.0,-0.0
10,600.0,0.1666666666666666,0.0,4.179606037373319,0.0,1.0,0.0,-0.0
11,660.0,0.1833333333333333,0.0,4.179599922593961,0.0,1.0,0.0,-0.0
12,720.0,0.2,0.0,4.179594652828002,0.0,1.0,0.0,-0.0
13,780.0,0.2166666666666666,0.0,4.179590131947234,0.0,1.0,0.0,-0.0
14,840.0,0.2333333333333333,0.0,4.179586276990289,0.0,1.0,0.0,-0.0
15,900.0,0.25,0.0,4.179582908949634,0.0,1.0,0.0,-0.0
16,960.0,0.2666666666666666,0.0,4.179580121667429,0.0,1.0,0.0,-0.0
17,1020.0,0.2833333333333333,0.0,4.17957775996801,0.0,1.0,0.0,-0.0
18,1080.0,0.3,0.0,4.17957580949203,0.0,1.0,0.0,-0.0
19,1140.0,0.3166666666666666,0.0,4.179574282044792,0.0,1.0,0.0,-0.0
20,1200.0,0.3333333333333333,0.0,4.17957294712386,0.0,1.0,0.0,-0.0
21,1260.0,0.35,0.0,4.179571757655356,0.0,1.0,0.0,-0.0
22,1320.0,0.3666666666666666,0.0,4.179570724132361,0.0,1.0,0.0,-0.0
23,1380.0,0.3833333333333333,0.0,4.179569841436942,0.0,1.0,0.0,-0.0
24,1440.0,0.4,0.0,4.179569038690058,0.0,1.0,0.0,-0.0
25,1500.0,0.4166666666666667,0.0,4.179568344936821,0.0,1.0,0.0,-0.0
26,1560.0,0.4333333333333333,0.0,4.179567767996045,0.0,1.0,0.0,-0.0
27,1620.0,0.45,0.0,4.179567307859033,0.0,1.0,0.0,-0.0
28,1680.0,0.4666666666666667,0.0,4.179566965836932,0.0,1.0,0.0,-0.0
29,1740.0,0.4833333333333333,0.0,4.179566668472227,0.0,1.0,0.0,-0.0
30,1800.0,0.5,0.0,4.179566400291948,0.0,1.0,0.0,-0.0
31,1860.0,0.5166666666666667,0.0,4.1795661610071,0.0,1.0,0.0,-0.0
32,1920.0,0.5333333333333333,0.0,4.179565949480377,0.0,1.0,0.0,-0.0
33,1980.0,0.55,0.0,4.1795657664337575,0.0,1.0,0.0,-0.0
34,2040.0,0.5666666666666667,0.0,4.179565611866554,0.0,1.0,0.0,-0.0
35,2100.0,0.5833333333333334,0.0,4.179565478759314,0.0,1.0,0.0,-0.0
36,2160.0,0.6,0.0,4.179565366145762,0.0,1.0,0.0,-0.0
37,2220.0,0.6166666666666667,0.0,4.179565278637579,0.0,1.0,0.0,-0.0
38,2280.0,0.6333333333333333,0.0,4.179565201821736,0.0,1.0,0.0,-0.0
39,2340.0,0.65,0.0,4.179565131993504,0.0,1.0,0.0,-0.0
40,2400.0,0.6666666666666666,0.0,4.1795650688031225,0.0,1.0,0.0,-0.0
41,2460.0,0.6833333333333333,0.0,4.179565011042068,0.0,1.0,0.0,-0.0
42,2520.0,0.7,0.0,4.17956495969668,0.0,1.0,0.0,-0.0
43,2580.0,0.7166666666666667,0.0,4.179564914766917,0.0,1.0,0.0,-0.0
44,2640.0,0.7333333333333333,0.0,4.1795648762527415,0.0,1.0,0.0,-0.0
45,2700.0,0.75,0.0,4.179564844154124,0.0,1.0,0.0,-0.0
46,2760.0,0.7666666666666667,0.0,4.179564821157111,0.0,1.0,0.0,-0.0
47,2820.0,0.7833333333333333,0.0,4.1795648006531945,0.0,1.0,0.0,-0.0
48,2880.0,0.8,0.0,4.179564780149297,0.0,1.0,0.0,-0.0
49,2940.0,0.8166666666666667,0.0,4.179564760998966,0.0,1.0,0.0,-0.0
50,3000.0,0.8333333333333334,0.0,4.179564746524796,0.0,1.0,0.0,-0.0
51,3060.0,0.85,0.0,4.179564732050636,0.0,1.0,0.0,-0.0
52,3120.0,0.8666666666666667,0.0,4.179564717576485,0.0,1.0,0.0,-0.0
53,3180.0,0.8833333333333333,0.0,4.179564703102345,0.0,1.0,0.0,-0.0
54,3240.0,0.9,0.0,4.179564688628214,0.0,1.0,0.0,-0.0
55,3300.0,0.9166666666666666,0.0,4.179564676123465,0.0,1.0,0.0,-0.0
56,3360.0,0.9333333333333332,0.0,4.179564664451766,0.0,1.0,0.0,-0.0
57,3420.0,0.95,0.0,4.179564652780073,0.0,1.0,0.0,-0.0
58,3480.0,0.9666666666666668,0.0,4.179564641560679,0.0,1.0,0.0,-0.0
59,3540.0,0.9833333333333332,0.0,4.179564631903833,0.0,1.0,0.0,-0.0
60,3600.0,1.0,0.0,4.179564622246994,0.0,1.0,0.0,-0.0
61,3660.0,1.0166666666666666,0.0,4.179564612590159,0.0,1.0,0.0,-0.0
62,3720.0,1.0333333333333334,0.0,4.179564602933328,0.0,1.0,0.0,-0.0
63,3780.0,1.05,0.0,4.179564593276503,0.0,1.0,0.0,-0.0
64,3840.0,1.0666666666666669,0.0,4.179564584277765,0.0,1.0,0.0,-0.0
65,3900.0,1.0833333333333333,0.0,4.179564575557403,0.0,1.0,0.0,-0.0
66,3960.0,1.1,0.0,4.179564566837044,0.0,1.0,0.0,-0.0
67,4020.0,1.1166666666666667,0.0,4.179564558267836,0.0,1.0,0.0,-0.0
68,4080.0,1.1333333333333333,0.0,4.179564550220791,0.0,1.0,0.0,-0.0
69,4140.0,1.15,0.0,4.1795645421737495,0.0,1.0,0.0,-0.0
70,4200.0,1.1666666666666667,0.0,4.179564534126713,0.0,1.0,0.0,-0.0
71,4260.0,1.1833333333333331,0.0,4.179564526079679,0.0,1.0,0.0,-0.0
72,4320.0,1.2,0.0,4.179564518032649,0.0,1.0,0.0,-0.0
73,4380.0,1.2166666666666666,0.0,4.179564510205545,0.0,1.0,0.0,-0.0
74,4440.0,1.2333333333333334,0.0,4.179564502471474,0.0,1.0,0.0,-0.0
75,4500.0,1.25,0.0,4.179564494737407,0.0,1.0,0.0,-0.0
76,4560.0,1.2666666666666666,0.0,4.179564487053859,0.0,1.0,0.0,-0.0
77,4620.0,1.2833333333333334,0.0,4.179564479544832,0.0,1.0,0.0,-0.0
78,4680.0,1.3,0.0,4.179564472035808,0.0,1.0,0.0,-0.0
79,4740.0,1.3166666666666669,0.0,4.179564464526788,0.0,1.0,0.0,-0.0
80,4800.0,1.3333333333333333,0.0,4.179564457017771,0.0,1.0,0.0,-0.0
81,4860.0,1.35,0.0,4.179564449508757,0.0,1.0,0.0,-0.0
82,4920.0,1.3666666666666667,0.0,4.179564442073258,0.0,1.0,0.0,-0.0
83,4980.0,1.3833333333333333,0.0,4.179564434668858,0.0,1.0,0.0,-0.0
84,5040.0,1.4,0.0,4.17956442726446,0.0,1.0,0.0,-0.0
85,5100.0,1.4166666666666667,0.0,4.179564419876957,0.0,1.0,0.0,-0.0
86,5160.0,1.4333333333333331,0.0,4.179564412547809,0.0,1.0,0.0,-0.0
87,5220.0,1.45,0.0,4.179564405218664,0.0,1.0,0.0,-0.0
88,5280.0,1.4666666666666666,0.0,4.179564397889522,0.0,1.0,0.0,-0.0
89,5340.0,1.4833333333333334,0.0,4.179564390560382,0.0,1.0,0.0,-0.0
90,5400.0,1.5,0.0,4.179564383231247,0.0,1.0,0.0,-0.0
91,5460.0,1.5166666666666666,0.0,4.1795643759267005,0.0,1.0,0.0,-0.0
92,5520.0,1.5333333333333334,0.0,4.179564368632558,0.0,1.0,0.0,-0.0
93,5580.0,1.55,0.0,4.179564361338419,0.0,1.0,0.0,-0.0
94,5640.0,1.5666666666666669,0.0,4.179564354049938,0.0,1.0,0.0,-0.0
95,5700.0,1.5833333333333333,0.0,4.179564346780993,0.0,1.0,0.0,-0.0
96,5760.0,1.6,0.0,4.179564339512053,0.0,1.0,0.0,-0.0
97,5820.0,1.6166666666666667,0.0,4.179564332243115,0.0,1.0,0.0,-0.0
98,5880.0,1.6333333333333333,0.0,4.17956432497418,0.0,1.0,0.0,-0.0
99,5940.0,1.65,0.0,4.179564317705248,0.0,1.0,0.0,-0.0
100,6000.0,1.6666666666666667,0.0,4.179564310444557,0.0,1.0,0.0,-0.0
101,6060.0,1.6833333333333331,0.0,4.179564303187355,0.0,1.0,0.0,-0.0
102,6120.0,1.7,0.0,4.179564295930156,0.0,1.0,0.0,-0.0
103,6180.0,1.7166666666666666,0.0,4.179564288674859,0.0,1.0,0.0,-0.0
104,6240.0,1.7333333333333334,0.0,4.17956428142613,0.0,1.0,0.0,-0.0
105,6300.0,1.75,0.0,4.179564274177402,0.0,1.0,0.0,-0.0
106,6360.0,1.7666666666666666,0.0,4.179564266928677,0.0,1.0,0.0,-0.0
107,6420.0,1.7833333333333334,0.0,4.179564259679957,0.0,1.0,0.0,-0.0
108,6480.0,1.8,0.0,4.179564252431239,0.0,1.0,0.0,-0.0
109,6540.0,1.8166666666666669,0.0,4.179564245185298,0.0,1.0,0.0,-0.0
110,6600.0,1.8333333333333333,0.0,4.179564237940536,0.0,1.0,0.0,-0.0
111,6660.0,1.85,0.0,4.179564230695777,0.0,1.0,0.0,-0.0
112,6720.0,1.8666666666666667,0.0,4.179564223451666,0.0,1.0,0.0,-0.0
113,6780.0,1.8833333333333333,0.0,4.179564216209786,0.0,1.0,0.0,-0.0
114,6840.0,1.9,0.0,4.17956420896791,0.0,1.0,0.0,-0.0
115,6900.0,1.9166666666666667,0.0,4.179564201726037,0.0,1.0,0.0,-0.0
116,6960.0,1.9333333333333331,0.0,4.179564194484166,0.0,1.0,0.0,-0.0
117,7020.0,1.95,0.0,4.179564187242298,0.0,1.0,0.0,-0.0
118,7080.0,1.9666666666666663,0.0,4.179564180001259,0.0,1.0,0.0,-0.0
119,7140.0,1.9833333333333332,0.0,4.179564172760561,0.0,1.0,0.0,-0.0
120,7200.0,2.0,0.0,4.1795641655198645,0.0,1.0,0.0,-0.0
121,7200.000000001,2.000000000000278,-0.1666666666666666,4.190528844634898,0.0,2.0,0.0,0.0027777777777777657
122,7260.0,2.0166666666666666,-0.1666666666666666,4.19626234227316,0.0,2.0,0.0,0.0055555555555555315
