,Step_Time(s),Time(h),Current(A),Voltage(V),Cycle,Step_Index,Discharge_Capacity(Ah),Charge_Capacity(Ah)
0,0.0,0.0,0.0,3.195614223998416,0.0,1.0,0.0,-0.0
1,60.0,0.0166666666666666,0.0,3.1963518474432497,0.0,1.0,0.0,-0.0
2,120.0,0.0333333333333333,0.0,3.196987894894087,0.0,1.0,0.0,-0.0
3,180.0,0.05,0.0,3.19753519024815,0.0,1.0,0.0,-0.0
4,240.0,0.0666666666666666,0.0,3.1980010308571534,0.0,1.0,0.0,-0.0
5,300.0,0.0833333333333333,0.0,3.198400087426471,0.0,1.0,0.0,-0.0
6,360.0,0.1,0.0,3.198734915874064,0.0,1.0,0.0,-0.0
7,420.0,0.1166666666666666,0.0,3.1990243457189824,0.0,1.0,0.0,-0.0
8,480.0,0.1333333333333333,0.0,3.199264544296233,0.0,1.0,0.0,-0.0
9,540.0,0.15,0.0,3.1994675339622667,0.0,1.0,0.0,-0.0
10,600.0,0.1666666666666666,0.0,3.199631337829622,0.0,1.0,0.0,-0.0
11,660.0,0.1833333333333333,0.0,3.19977505933248,0.0,1.0,0.0,-0.0
12,720.0,0.2,0.0,3.199899011791585,0.0,1.0,0.0,-0.0
13,780.0,0.2166666666666666,0.0,3.200005266299255,0.0,1.0,0.0,-0.0
14,840.0,0.2333333333333333,0.0,3.2000978039790526,0.0,1.0,0.0,-0.0
15,900.0,0.25,0.0,3.2001752490789475,0.0,1.0,0.0,-0.0
16,960.0,0.2666666666666666,0.0,3.200242850462163,0.0,1.0,0.0,-0.0
17,1020.0,0.2833333333333333,0.0,3.2002987791919604,0.0,1.0,0.0,-0.0
18,1080.0,0.3,0.0,3.2003452647172503,0.0,1.0,0.0,-0.0
19,1140.0,0.3166666666666666,0.0,3.200382577145432,0.0,1.0,0.0,-0.0
20,1200.0,0.3333333333333333,0.0,3.200415332176481,0.0,1.0,0.0,-0.0
21,1260.0,0.35,0.0,3.200444143489392,0.0,1.0,0.0,-0.0
22,1320.0,0.3666666666666666,0.0,3.200468911340044,0.0,1.0,0.0,-0.0
23,1380.0,0.3833333333333333,0.0,3.200491036203009,0.0,1.0,0.0,-0.0
24,1440.0,0.4,0.0,3.200510227761889,0.0,1.0,0.0,-0.0
25,1500.0,0.4166666666666667,0.0,3.200526217777357,0.0,1.0,0.0,-0.0
26,1560.0,0.4333333333333333,0.0,3.2005391117177866,0.0,1.0,0.0,-0.0
27,1620.0,0.45,0.0,3.2005498847700804,0.0,1.0,0.0,-0.0
28,1680.0,0.4666666666666667,0.0,3.2005581005415404,0.0,1.0,0.0,-0.0
29,1740.0,0.4833333333333333,0.0,3.200565217805141,0.0,1.0,0.0,-0.0
30,1800.0,0.5,0.0,3.2005715902087646,0.0,1.0,0.0,-0.0
31,1860.0,0.5166666666666667,0.0,3.200577216341798,0.0,1.0,0.0,-0.0
32,1920.0,0.5333333333333333,0.0,3.2005820953766744,0.0,1.0,0.0,-0.0
33,1980.0,0.55,0.0,3.2005862282541675,0.0,1.0,0.0,-0.0
34,2040.0,0.5666666666666667,0.0,3.200589718888309,0.0,1.0,0.0,-0.0
35,2100.0,0.5833333333333334,0.0,3.2005927154368266,0.0,1.0,0.0,-0.0
36,2160.0,0.6,0.0,3.2005951309292007,0.0,1.0,0.0,-0.0
37,2220.0,0.6166666666666667,0.0,3.200596944058106,0.0,1.0,0.0,-0.0
38,2280.0,0.6333333333333333,0.0,3.200598491660598,0.0,1.0,0.0,-0.0
39,2340.0,0.65,0.0,3.200599865737812,0.0,1.0,0.0,-0.0
40,2400.0,0.6666666666666666,0.0,3.2006010749552005,0.0,1.0,0.0,-0.0
41,2460.0,0.6833333333333333,0.0,3.200602149249609,0.0,1.0,0.0,-0.0
42,2520.0,0.7,0.0,3.200603064190234,0.0,1.0,0.0,-0.0
43,2580.0,0.7166666666666667,0.0,3.200603819779165,0.0,1.0,0.0,-0.0
44,2640.0,0.7333333333333333,0.0,3.2006044160181246,0.0,1.0,0.0,-0.0
45,2700.0,0.75,0.0,3.200604852908472,0.0,1.0,0.0,-0.0
46,2760.0,0.7666666666666667,0.0,3.2006050636050647,0.0,1.0,0.0,-0.0
47,2820.0,0.7833333333333333,0.0,3.2006052123237128,0.0,1.0,0.0,-0.0
48,2880.0,0.8,0.0,3.2006053610422573,0.0,1.0,0.0,-0.0
49,2940.0,0.8166666666666667,0.0,3.2006054761106077,0.0,1.0,0.0,-0.0
50,3000.0,0.8333333333333334,0.0,3.200605474927083,0.0,1.0,0.0,-0.0
51,3060.0,0.85,0.0,3.2006054737435594,0.0,1.0,0.0,-0.0
52,3120.0,0.8666666666666667,0.0,3.200605472560037,0.0,1.0,0.0,-0.0
53,3180.0,0.8833333333333333,0.0,3.200605471376514,0.0,1.0,0.0,-0.0
54,3240.0,0.9,0.0,3.2006054701929934,0.0,1.0,0.0,-0.0
55,3300.0,0.9166666666666666,0.0,3.200605420049081,0.0,1.0,0.0,-0.0
56,3360.0,0.9333333333333332,0.0,3.2006053491949182,0.0,1.0,0.0,-0.0
57,3420.0,0.95,0.0,3.20060527834073,0.0,1.0,0.0,-0.0
58,3480.0,0.9666666666666668,0.0,3.2006051962422344,0.0,1.0,0.0,-0.0
59,3540.0,0.9833333333333332,0.0,3.20060507529776,0.0,1.0,0.0,-0.0
60,3600.0,1.0,0.0,3.200604954353217,0.0,1.0,0.0,-0.0
61,3660.0,1.0166666666666666,0.0,3.200604833408605,0.0,1.0,0.0,-0.0
62,3720.0,1.0333333333333334,0.0,3.2006047124639223,0.0,1.0,0.0,-0.0
63,3780.0,1.05,0.0,3.200604591519172,0.0,1.0,0.0,-0.0
64,3840.0,1.0666666666666669,0.0,3.200604454214228,0.0,1.0,0.0,-0.0
65,3900.0,1.0833333333333333,0.0,3.200604309988877,0.0,1.0,0.0,-0.0
66,3960.0,1.1,0.0,3.200604165763429,0.0,1.0,0.0,-0.0
67,4020.0,1.1166666666666667,0.0,3.200604017780731,0.0,1.0,0.0,-0.0
68,4080.0,1.1333333333333333,0.0,3.200603856817986,0.0,1.0,0.0,-0.0
69,4140.0,1.15,0.0,3.2006036958551185,0.0,1.0,0.0,-0.0
70,4200.0,1.1666666666666667,0.0,3.2006035348921267,0.0,1.0,0.0,-0.0
71,4260.0,1.1833333333333331,0.0,3.200603373929014,0.0,1.0,0.0,-0.0
72,4320.0,1.2,0.0,3.2006032129657767,0.0,1.0,0.0,-0.0
73,4380.0,1.2166666666666666,0.0,3.2006030465360613,0.0,1.0,0.0,-0.0
74,4440.0,1.2333333333333334,0.0,3.20060287779397,0.0,1.0,0.0,-0.0
75,4500.0,1.25,0.0,3.2006027090517426,0.0,1.0,0.0,-0.0
76,4560.0,1.2666666666666666,0.0,3.2006025390541466,0.0,1.0,0.0,-0.0
77,4620.0,1.2833333333333334,0.0,3.2006023647199227,0.0,1.0,0.0,-0.0
78,4680.0,1.3,0.0,3.2006021903855544,0.0,1.0,0.0,-0.0
79,4740.0,1.3166666666666669,0.0,3.2006020160510413,0.0,1.0,0.0,-0.0
80,4800.0,1.3333333333333333,0.0,3.200601841716383,0.0,1.0,0.0,-0.0
81,4860.0,1.35,0.0,3.200601667381582,0.0,1.0,0.0,-0.0
82,4920.0,1.3666666666666667,0.0,3.2006014912205742,0.0,1.0,0.0,-0.0
83,4980.0,1.3833333333333333,0.0,3.200601314287022,0.0,1.0,0.0,-0.0
84,5040.0,1.4,0.0,3.200601137353321,0.0,1.0,0.0,-0.0
85,5100.0,1.4166666666666667,0.0,3.2006009600002865,0.0,1.0,0.0,-0.0
86,5160.0,1.4333333333333331,0.0,3.200600781198934,0.0,1.0,0.0,-0.0
87,5220.0,1.45,0.0,3.2006006023974303,0.0,1.0,0.0,-0.0
88,5280.0,1.4666666666666666,0.0,3.2006004235957737,0.0,1.0,0.0,-0.0
89,5340.0,1.4833333333333334,0.0,3.200600244793966,0.0,1.0,0.0,-0.0
90,5400.0,1.5,0.0,3.200600065992006,0.0,1.0,0.0,-0.0
91,5460.0,1.5166666666666666,0.0,3.2005998865802865,0.0,1.0,0.0,-0.0
92,5520.0,1.5333333333333334,0.0,3.200599706910576,0.0,1.0,0.0,-0.0
93,5580.0,1.55,0.0,3.200599527240712,0.0,1.0,0.0,-0.0
94,5640.0,1.5666666666666669,0.0,3.200599347430888,0.0,1.0,0.0,-0.0
95,5700.0,1.5833333333333333,0.0,3.200599167137913,0.0,1.0,0.0,-0.0
96,5760.0,1.6,0.0,3.200598986844783,0.0,1.0,0.0,-0.0
97,5820.0,1.6166666666666667,0.0,3.2005988065515,0.0,1.0,0.0,-0.0
98,5880.0,1.6333333333333333,0.0,3.2005986262580617,0.0,1.0,0.0,-0.0
99,5940.0,1.65,0.0,3.200598445964469,0.0,1.0,0.0,-0.0
100,6000.0,1.6666666666666667,0.0,3.2005982654676077,0.0,1.0,0.0,-0.0
101,6060.0,1.6833333333333331,0.0,3.2005980848847004,0.0,1.0,0.0,-0.0
102,6120.0,1.7,0.0,3.2005979043016395,0.0,1.0,0.0,-0.0
103,6180.0,1.7166666666666666,0.0,3.2005977236719736,0.0,1.0,0.0,-0.0
104,6240.0,1.7333333333333334,0.0,3.2005975428816806,0.0,1.0,0.0,-0.0
105,6300.0,1.75,0.0,3.2005973620912327,0.0,1.0,0.0,-0.0
106,6360.0,1.7666666666666666,0.0,3.2005971813006298,0.0,1.0,0.0,-0.0
107,6420.0,1.7833333333333334,0.0,3.2005970005098714,0.0,1.0,0.0,-0.0
108,6480.0,1.8,0.0,3.2005968197189576,0.0,1.0,0.0,-0.0
109,6540.0,1.8166666666666669,0.0,3.2005966388606097,0.0,1.0,0.0,-0.0
